number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.2905902862548828,0.11137151718139648,0.03001570701599121,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:34:47 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
1,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.16395998001098633,0.10976171493530273,0.023072004318237305,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:34:50 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
2,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.15372633934020996,0.12661099433898926,0.0424954891204834,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:34:54 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
3,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.13892722129821777,0.10591006278991699,0.031308889389038086,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:34:57 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
4,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.22558999061584473,0.10647892951965332,0.06061983108520508,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:35:00 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
5,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.1514582633972168,0.10294890403747559,0.04181218147277832,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:35:02 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
6,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.17252492904663086,0.1193234920501709,0.028893232345581055,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:35:05 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
7,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.1515655517578125,0.11036515235900879,0.03771686553955078,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:35:08 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
8,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.16970396041870117,0.11854076385498047,0.029964685440063477,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:35:11 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
9,"GET / HTTP/1.1
Host: www.quantserve.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,432,HTTP/1.1,0.1698455810546875,0.12201595306396484,0.024653911590576172,200,OK,[''],9,9,295,"{""date"": ""Fri, 29 Sep 2023 22:35:15 GMT"", ""content-type"": ""text/html"", ""content-length"": ""295"", ""connection"": ""keep-alive"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-origin"": ""*"", ""cache-control"": ""private, no-cache, no-store, proxy-revalidate"", ""expires"": ""Fri, 04 Aug 1978 12:00:00 GMT"", ""pragma"": ""no-cache""}"
