number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.1624138355255127,0.11901521682739258,0.24408459663391113,200,OK,[''],13,13,1297,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""2df7c7fa5b10df959dfdd26cea35f990"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:11:56 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:11:56 GMT"", ""connection"": ""keep-alive""}"
1,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.15024495124816895,0.11304330825805664,0.22815704345703125,200,OK,[''],13,13,1297,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""2766d03281cf1da075d7193b2fcca227"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:11:58 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:11:58 GMT"", ""connection"": ""keep-alive""}"
2,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.3225982189178467,0.15215730667114258,0.25725603103637695,200,OK,[''],13,13,1297,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""eeb8d479d57162746954c30974be5849"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:01 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:01 GMT"", ""connection"": ""keep-alive""}"
3,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18692946434020996,0.11595821380615234,0.2455577850341797,200,OK,[''],13,13,1297,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""8f1ab841e370e80358aab9fb04f9c067"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:03 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:03 GMT"", ""connection"": ""keep-alive""}"
4,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.11958909034729004,0.11656880378723145,0.2380695343017578,200,OK,[''],13,13,1298,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""5f96dd286b9073485f233a08421d014c"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:06 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:06 GMT"", ""connection"": ""keep-alive""}"
5,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.18700027465820312,0.11559724807739258,0.24713706970214844,200,OK,[''],13,13,1297,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""fa509149dc32086d9855584ad04df8ba"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:09 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:09 GMT"", ""connection"": ""keep-alive""}"
6,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.11624407768249512,0.11784863471984863,0.23378348350524902,200,OK,[''],13,13,1297,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""f222a15575035f68823b5d2923bf4b19"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:11 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:11 GMT"", ""connection"": ""keep-alive""}"
7,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.10543274879455566,0.11328673362731934,0.24222612380981445,200,OK,[''],13,13,1297,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""fb8e66d67c2c9270dc3c7e4bb8bbed92"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:14 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:14 GMT"", ""connection"": ""keep-alive""}"
8,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.21921205520629883,0.10951972007751465,0.1992204189300537,200,OK,[''],13,13,1300,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""794c54eb394a51e292681aaaf34c2c"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:17 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:17 GMT"", ""connection"": ""keep-alive""}"
9,"GET / HTTP/1.1
Host: www.outbrain.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,430,HTTP/1.1,0.09406566619873047,0.10941600799560547,0.2279062271118164,200,OK,[''],13,13,1298,"{""content-type"": ""text/html; charset=utf-8"", ""content-encoding"": ""gzip"", ""etag"": ""W/\""df7c-xgZGIj80BDn4lmcWqwWF9qtiRxk\"""", ""strict-transport-security"": ""max-age=86400"", ""vary"": ""Accept-Encoding"", ""x-frame-options"": ""SAMEORIGIN"", ""x-traceid"": ""cfc4ef82ad88f716d436de831b66bc10"", ""content-length"": ""12143"", ""expires"": ""Fri, 29 Sep 2023 22:12:19 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:12:19 GMT"", ""connection"": ""keep-alive""}"
