number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.4171156883239746,0.11918210983276367,0.2555973529815674,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""112530"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:10 GMT"", ""content-length"": ""19503""}"
1,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.5024149417877197,0.11390280723571777,0.25229477882385254,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""309098"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:14 GMT"", ""content-length"": ""19503""}"
2,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.43573617935180664,0.11869525909423828,0.24499797821044922,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""835884"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:18 GMT"", ""content-length"": ""19503""}"
3,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.4130544662475586,0.13534975051879883,0.2336437702178955,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""333006"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:21 GMT"", ""content-length"": ""19503""}"
4,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.5340754985809326,0.14500093460083008,0.24793648719787598,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""196906"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:25 GMT"", ""content-length"": ""19503""}"
5,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.39606714248657227,0.15823078155517578,0.24208903312683105,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""651968"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:28 GMT"", ""content-length"": ""19503""}"
6,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.4361605644226074,0.1088719367980957,0.24216985702514648,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""315718"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:32 GMT"", ""content-length"": ""19503""}"
7,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.43082475662231445,0.1250746250152588,0.258955717086792,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""647294"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:36 GMT"", ""content-length"": ""19503""}"
8,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.48478174209594727,0.11731338500976562,0.27804112434387207,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""343089"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:39 GMT"", ""content-length"": ""19503""}"
9,"GET / HTTP/1.1
Host: www.scorecardresearch.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,439,HTTP/1.1,0.41495180130004883,0.13632512092590332,0.2719838619232178,200,OK,[''],9,9,16070,"{""cache-control"": ""private"", ""content-type"": ""text/html; charset=utf-8"", ""etag"": ""185206"", ""server"": ""Microsoft-IIS"", ""x-powered-by"": ""ASP.NET"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""frame-ancestors 'self' app.storyblok.com;"", ""date"": ""Fri, 29 Sep 2023 22:34:43 GMT"", ""content-length"": ""19503""}"
