number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.19302821159362793,0.15302634239196777,0.04625201225280762,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:32:58 GMT"", ""connection"": ""keep-alive""}"
1,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1911170482635498,0.1036522388458252,0.04314017295837402,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:00 GMT"", ""connection"": ""keep-alive""}"
2,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.18549370765686035,0.11310052871704102,0.03352499008178711,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:02 GMT"", ""connection"": ""keep-alive""}"
3,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.15971064567565918,0.11090970039367676,0.04208731651306152,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:04 GMT"", ""connection"": ""keep-alive""}"
4,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.10109639167785645,0.12304973602294922,0.054970502853393555,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:06 GMT"", ""connection"": ""keep-alive""}"
5,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1539783477783203,0.1111304759979248,0.10036635398864746,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:08 GMT"", ""connection"": ""keep-alive""}"
6,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.14757418632507324,0.11100006103515625,0.041036128997802734,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:10 GMT"", ""connection"": ""keep-alive""}"
7,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1617748737335205,0.13402366638183594,0.05380678176879883,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:13 GMT"", ""connection"": ""keep-alive""}"
8,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.16772842407226562,0.12046170234680176,0.0817255973815918,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:15 GMT"", ""connection"": ""keep-alive""}"
9,"GET / HTTP/1.1
Host: www.icloud.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1355886459350586,0.11059451103210449,0.027106761932373047,200,OK,[''],21,21,13952,"{""server"": ""AppleHttpServer/3faf4ee9434b"", ""content-type"": ""text/html"", ""content-length"": ""48166"", ""etag"": ""\""18ad0f7daf8bc26\"""", ""content-language"": ""en-us"", ""content-encoding"": ""br"", ""content-location"": ""/system/icloud.com/index.html.en-us.brotli"", ""vary"": ""accept-encoding"", ""content-version"": ""V1"", ""x-frame-options"": ""SAMEORIGIN"", ""x-robots-tag"": ""noarchive"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""cache-control"": ""public, max-age=300"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""img-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com *.mzstatic.com; media-src 'self' blob: data: *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn; font-src 'self' blob: data: icloud.com *.icloud.com *.apple.com *.cdn-apple.com; connect-src blob: 'self' icloud.com *.icloud.com *.apple.com *.cdn-apple.com *.icloud-content.com *.icloud-content.com.cn *.apple-mapkit.com; frame-src 'self' blob: mailto: tel: *.icloud.com *.apple.com *.icloud-sandbox.com *.icloud-content.com *.icloud-content.com.cn; frame-ancestors 'self' *.icloud.com *.apple.com; form-action 'self' *.icloud.com *.apple.com; child-src blob: 'self'; base-uri 'self' *.icloud.com *.cdn-apple.com; report-uri https://feedbackws.icloud.com/reportRaw"", ""x-xss-protection"": ""1; mode=block"", ""expect-ct"": ""max-age=30, report-uri=\""https://feedbackws.icloud.com/reportRaw\"""", ""x-apple-request-uuid"": ""c199b59e-7c2c-425a-8e9a-44195933bb4c"", ""access-control-expose-headers"": ""X-Apple-Request-UUID,Via"", ""date"": ""Fri, 29 Sep 2023 22:33:17 GMT"", ""connection"": ""keep-alive""}"
