number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1677861213684082,0.10316967964172363,0.6073427200317383,200,OK,[''],15,15,0,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:42 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 71b26382155ee54bc1b92cacc095ce82.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""GM5FjKFag9tjwwZKYZ65dC8GBFd1G-TchafGJ4N30EXvqVv1il8Wgw==""}"
1,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.3169376850128174,0.14173126220703125,0.6512291431427002,200,OK,[''],15,15,23779,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:46 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 2708e1a9acafb39e713bfaa4a6a7cda2.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""y4ZpTe7qrPU0VoAdQghwA1LnKBChMeD6xFcxpKTRqcGJ0Wm7OFLuGw==""}"
2,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.13877129554748535,0.11199831962585449,0.6264469623565674,200,OK,[''],15,15,0,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:50 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 eabf0052502240e2b09c2e962490cabc.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""YybvryLyG-rHNOAQuDab3DTpgtN90g-FwKxPmQU8tllFzobi8vPUlw==""}"
3,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.2287604808807373,0.1545548439025879,0.6248691082000732,200,OK,[''],15,15,23779,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:54 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 f831aab6d5418e01406fa93bd6a1d650.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""cdau6XTdGGZRJR1Idv42nXz_bhoWIEOg6hvYCE8lephClN71QGGPRQ==""}"
4,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.25084733963012695,0.11101865768432617,0.1785717010498047,200,OK,[''],15,15,0,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:57 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 6c8b2c2d43417dceab2ce8474c5516d6.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""T83ScSDpRsUSKjbNqj3hxrbUgSmpWQpgkKstkY_oZhdUIWUyxvwdYQ==""}"
5,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1566638946533203,0.10768675804138184,0.6228177547454834,200,OK,[''],15,15,23779,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:01 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 f9e7fd4b74156e78a449b2e846941478.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""uJc3QonZOlF_fTNfzWvBU6UO3KJDMzASq2p5qxDGi-bhPui3XU5BRA==""}"
6,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.19721221923828125,0.12034130096435547,0.6107382774353027,200,OK,[''],15,15,0,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:04 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 99c082d51ab1d5dd3b28271abf556164.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""-3JRh316bh5qvIRsFqsx58dbalSqxBe_1Hr4YWuK0Sumjh7LXbVBTw==""}"
7,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.22189688682556152,0.14622783660888672,0.6080965995788574,200,OK,[''],15,15,0,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:08 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 a21b25c9d373577fade9001454ef47f0.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""yBS_RzPfRXjbyC609wfav20VU5NN23CL-l_wcSxdEWm6_PEuNNjBXw==""}"
8,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1829366683959961,0.11543583869934082,0.5959064960479736,200,OK,[''],15,15,0,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:12 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 938af0a58a4fcbf3c08e6c39b89440e2.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""dt3SB-1yTfEywA-y97n_qYhvc1ZMbT9MduF1_2deqtpaEChsxul6bw==""}"
9,"GET / HTTP/1.1
Host: www.doi.org
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.1853318214416504,0.11636614799499512,0.617006778717041,200,OK,[''],15,15,23779,"{""content-type"": ""text/html"", ""content-length"": ""6819"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:15 GMT"", ""last-modified"": ""Mon, 10 Apr 2023 08:52:49 GMT"", ""etag"": ""\""738314b5665f38027821605b70311c81\"""", ""x-amz-server-side-encryption"": ""AES256"", ""x-amz-meta-md5chksum"": ""738314b5665f38027821605b70311c81"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""server"": ""AmazonS3"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 fce8106dca6331a9ef447b7d400205f8.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P1"", ""x-amz-cf-id"": ""Ov2cDZyx5RirnLxY8yqJ2Ejh-4S4Ylp8sw8RPOlmoihc4ycKQAViZQ==""}"
