number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.24848532676696777,0.14205169677734375,0.11809992790222168,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:15 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e74657c9360a53-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12721"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:49:14 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
1,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.31075429916381836,0.11260747909545898,0.15455055236816406,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:19 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e746707e990bbc-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12725"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:49:14 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
2,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.19774532318115234,0.10547828674316406,0.18317556381225586,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:22 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e746832b260a70-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12728"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:49:14 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
3,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.32315874099731445,0.10821032524108887,0.09486222267150879,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:25 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e74697bd690bd0-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12731"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:49:14 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
4,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.12481880187988281,0.14473724365234375,0.10333991050720215,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:29 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e746abfe5ab89a-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12495"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:53:14 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
5,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.3084390163421631,0.10860443115234375,0.07719898223876953,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:32 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e746c08b2fb748-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12494"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:53:18 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
6,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.23178505897521973,0.11070632934570312,0.10258293151855469,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:35 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e746d4dc42b7c7-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12497"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:53:18 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
7,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.22159838676452637,0.11150598526000977,0.10274767875671387,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:38 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e746e7c9e90e5c-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12719"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:49:38 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
8,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.19154024124145508,0.11093997955322266,0.08469462394714355,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:41 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e746fcaafbb7ef-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12503"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:53:18 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
9,"GET / HTTP/1.1
Host: www.who.int
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,425,HTTP/1.1,0.21923542022705078,0.1229715347290039,0.07130765914916992,200,OK,[''],15,15,0,"{""date"": ""Fri, 29 Sep 2023 21:21:45 GMT"", ""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""cf-ray"": ""80e747118cbc0b81-AMS"", ""cf-cache-status"": ""HIT"", ""access-control-allow-origin"": ""*"", ""age"": ""12511"", ""cache-control"": ""public, max-age=0, s-maxage=21600"", ""expires"": ""Fri, 29 Sep 2023 17:53:14 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 17:48:28 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""vary"": ""HTTP_HOST,Accept-Encoding"", ""access-control-expose-headers"": ""Request-Context"", ""content-security-policy"": ""default-src 'self' *.analysis.windows.net *.clarity.ms *.nativechat.com *.tts.speech.microsoft.com *.who.int answers.yext-pixel.com app.powerbi.com assets.sitescdn.net content.powerapps.com covidfunding.eiu.com dc.services.visualstudio.com gis.azureedge.net js.arcgis.com liveapi.yext.com liveapi-cached.yext.com pbi.azureedge.net pbipdfapp.azurewebsites.net player.4am.ch player.clevercast.com polyfill.io services.arcgis.com staging-dot-eiu-wellcome-7664.nw.r.appspot.com tiles.arcgis.com utility.arcgisonline.com visuals.azureedge.net wabi-north-europe-redirect.analysis.windows.net westeurope.tts.speech.microsoft.com who.cloudflareaccess.com who-answers.pagescdn.com who-covid-answers.int.pagescdn.com whotest.appiancloud.com www.arcgis.com www.googleadservices.com iris.who.int; script-src 'self' *.googleapis.com *""}"
