number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.2379305362701416,0.14782333374023438,0.12668776512145996,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:39 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
1,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.20317983627319336,0.11497139930725098,0.17093276977539062,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:41 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
2,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.16812729835510254,0.1060037612915039,0.1399672031402588,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:43 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
3,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.2189481258392334,0.12741804122924805,0.2689690589904785,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:45 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
4,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.21556997299194336,0.1167747974395752,0.11157560348510742,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:47 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
5,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.11185526847839355,0.11170172691345215,0.16456007957458496,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:50 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
6,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.11127257347106934,0.10709404945373535,0.14136052131652832,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:52 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
7,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.14580750465393066,0.10268211364746094,0.12796902656555176,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:54 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
8,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.17390847206115723,0.11262822151184082,0.14652776718139648,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:55 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
9,"GET / HTTP/1.1
Host: www.appsflyer.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,431,HTTP/1.1,0.147080659866333,0.10576009750366211,0.13099956512451172,200,OK,[''],10,10,15235,"{""content-type"": ""text/html; charset=UTF-8"", ""server"": ""nginx"", ""link"": ""<https://www.appsflyer.com/>; rel=shortlink"", ""af-st-src"": ""EC2-2021"", ""content-encoding"": ""gzip"", ""content-length"": ""17918"", ""date"": ""Fri, 29 Sep 2023 22:49:57 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""user-loc"": ""DE""}"
