number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.23414373397827148,0.12183070182800293,0.03378629684448242,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: 719FCE5BDCC145BE8D55D7B4F6D2C922 Ref B: AMS231032603007 Ref C: 2023-09-29T22:50:46Z"", ""date"": ""Fri, 29 Sep 2023 22:50:45 GMT""}"
1,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.33725547790527344,0.1038510799407959,0.03318667411804199,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: F265D362F00C4077991120FAA540102B Ref B: AMS231032604007 Ref C: 2023-09-29T22:50:49Z"", ""date"": ""Fri, 29 Sep 2023 22:50:49 GMT""}"
2,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.18102812767028809,0.10144615173339844,0.03843951225280762,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: BB5E70F2D1804FAD8F930E9E6E18AD89 Ref B: AMS231032601033 Ref C: 2023-09-29T22:50:52Z"", ""date"": ""Fri, 29 Sep 2023 22:50:52 GMT""}"
3,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.17870163917541504,0.10848593711853027,0.030466318130493164,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: 3AEABD786F4C4F42A4420E24DD72BC44 Ref B: AMS231032602045 Ref C: 2023-09-29T22:50:55Z"", ""date"": ""Fri, 29 Sep 2023 22:50:55 GMT""}"
4,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.21215152740478516,0.12070131301879883,0.03827667236328125,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: 5AB3A3E087A647D09BCAAD1D5A4D0C46 Ref B: AMS231032603049 Ref C: 2023-09-29T22:50:59Z"", ""date"": ""Fri, 29 Sep 2023 22:50:58 GMT""}"
5,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.22643208503723145,0.1095876693725586,0.07650971412658691,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: 4D96D76504CD4DD3BEC5E5A79889B70C Ref B: AMS231032605017 Ref C: 2023-09-29T22:51:02Z"", ""date"": ""Fri, 29 Sep 2023 22:51:01 GMT""}"
6,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.15943193435668945,0.11565279960632324,0.041248321533203125,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: F6E12157D63F430BB4BE8180D0D63C02 Ref B: AMS231032603011 Ref C: 2023-09-29T22:51:05Z"", ""date"": ""Fri, 29 Sep 2023 22:51:04 GMT""}"
7,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.20462250709533691,0.10457396507263184,0.03594803810119629,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: 57E6FF09C355474E84BE442AFA9F8DDA Ref B: AMS231032604021 Ref C: 2023-09-29T22:51:08Z"", ""date"": ""Fri, 29 Sep 2023 22:51:07 GMT""}"
8,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.17281603813171387,0.10535478591918945,0.035520315170288086,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: 84B033CBDB0E42518DF988F0C85F282F Ref B: AMS231032605045 Ref C: 2023-09-29T22:51:11Z"", ""date"": ""Fri, 29 Sep 2023 22:51:10 GMT""}"
9,"GET / HTTP/1.1
Host: upload.fp.measure.office.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,442,HTTP/1.1,0.18435001373291016,0.11256051063537598,0.032044172286987305,200,OK,[''],6,6,7,"{""cache-control"": ""no-store"", ""transfer-encoding"": ""chunked"", ""content-type"": ""image/gif"", ""x-content-type-options"": ""nosniff"", ""x-msedge-ref"": ""Ref A: A607159771144537AB70691C9B311A1D Ref B: AMS231032601005 Ref C: 2023-09-29T22:51:14Z"", ""date"": ""Fri, 29 Sep 2023 22:51:14 GMT""}"
