number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.17180275917053223,0.11607050895690918,0.03597259521484375,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:49 GMT"", ""age"": ""37"", ""x-served-by"": ""cache-ams21037-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022449.170248,VS0,VE1"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
1,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.32051873207092285,0.1460421085357666,0.0446324348449707,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:51 GMT"", ""age"": ""39"", ""x-served-by"": ""cache-ams21032-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""2"", ""x-timer"": ""S1696022452.956065,VS0,VE1"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
2,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.10024642944335938,0.10209107398986816,0.03122258186340332,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:54 GMT"", ""age"": ""42"", ""x-served-by"": ""cache-ams21069-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022454.497554,VS0,VE2"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
3,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.19779253005981445,0.11249256134033203,0.04185628890991211,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:57 GMT"", ""age"": ""45"", ""x-served-by"": ""cache-ams21066-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022457.130725,VS0,VE2"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
4,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.15070056915283203,0.11954784393310547,0.04197859764099121,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:20:59 GMT"", ""age"": ""47"", ""x-served-by"": ""cache-ams21066-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""2"", ""x-timer"": ""S1696022460.629992,VS0,VE1"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
5,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.19597601890563965,0.115020751953125,0.02510666847229004,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:02 GMT"", ""age"": ""50"", ""x-served-by"": ""cache-ams21035-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022462.459122,VS0,VE1"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
6,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.14031124114990234,0.10870838165283203,0.02927255630493164,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69841"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""486"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 7"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:04 GMT"", ""age"": ""68"", ""x-served-by"": ""cache-ams21040-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022465.877470,VS0,VE2"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
7,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.3015434741973877,0.10526919364929199,0.028063058853149414,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:07 GMT"", ""age"": ""55"", ""x-served-by"": ""cache-ams21046-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022467.476259,VS0,VE1"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
8,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.19109678268432617,0.10872101783752441,0.031195878982543945,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:09 GMT"", ""age"": ""57"", ""x-served-by"": ""cache-ams21030-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022470.811121,VS0,VE2"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
9,"GET / HTTP/1.1
Host: www.forbes.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.21009325981140137,0.11075496673583984,0.06561136245727539,200,OK,[''],36,36,0,"{""connection"": ""keep-alive"", ""content-length"": ""69828"", ""server"": ""rhino-core-shield"", ""content-type"": ""text/html; charset=utf-8"", ""cache-control"": ""public, max-age=300"", ""content-encoding"": ""gzip"", ""x-envoy-upstream-service-time"": ""534"", ""x-envoy-decorator-operation"": ""production.dns-proxy.svc.cluster.local:80/*"", ""backend"": ""dnsresolver"", ""x-backend"": ""simple-site-prod"", ""x-yourttl"": ""300.000"", ""x-cicero-cache"": ""HIT 5"", ""via"": ""1.1 google, 1.1 google, 1.1 varnish"", ""x-fastly-backend"": ""24YyrkkiTBhSwXWzJgvwW6--F_GCP_Cicero_Varnish"", ""x-fastly-x-is-cn"": ""false"", ""x-fastly-x-is-us-dpa"": ""false"", ""x-fastlyttl"": ""300.000"", ""accept-ranges"": ""bytes"", ""date"": ""Fri, 29 Sep 2023 21:21:12 GMT"", ""age"": ""60"", ""x-served-by"": ""cache-ams21073-AMS"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""x-timer"": ""S1696022472.469578,VS0,VE1"", ""vary"": ""Accept-Encoding, X-is-EU, X-Device, canary, X-Is-Ad-Light, x-malcolm, X-is-EU, X-is-CN, X-is-US-DPA, X-is-US, X-Device, x-backend, canary, X-Is-Ad-Light, x-fire-nr-browser"", ""x-country-code"": ""DE"", ""x-postal-code"": ""25712"", ""x-region"": ""SH"", ""x-city-code"": ""kuden"", ""x-frame-options"": ""SAMEORIGIN"", ""content-security-policy"": ""upgrade-insecure-requests"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains; preload"", ""access-control-allow-credentials"": ""true"", ""x-device"": ""pc"", ""state"": ""HIT-CLUSTER"", ""alt-svc"": ""h3=\"":443\"";ma=86400,h3-29=\"":443\"";ma=86400,h3-27=\"":443\"";ma=86400""}"
