number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.2151637077331543,0.11210370063781738,0.11911296844482422,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:50:47 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:50:47 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
1,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1752307415008545,0.12144851684570312,0.06478047370910645,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:50:50 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:50:50 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
2,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.2286207675933838,0.10576558113098145,0.16354846954345703,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:50:52 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:50:52 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
3,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1427903175354004,0.10780620574951172,0.11707758903503418,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:50:55 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
4,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.14681458473205566,0.11632132530212402,0.14690732955932617,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:50:58 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:50:58 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
5,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.2421720027923584,0.12295174598693848,0.11541509628295898,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:51:00 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:51:00 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
6,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.3305473327636719,0.11066150665283203,0.1325678825378418,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:51:03 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:51:03 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
7,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.18834662437438965,0.11594700813293457,0.16712093353271484,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:51:06 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:51:06 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
8,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.202378511428833,0.11171531677246094,0.09621953964233398,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:51:08 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:51:08 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
9,"GET / HTTP/1.1
Host: www.cisco.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.27011775970458984,0.11747980117797852,0.16892552375793457,200,OK,[''],17,17,14065,"{""content-length"": ""15990"", ""x-frame-options"": ""SAMEORIGIN"", ""content-encoding"": ""gzip"", ""x-vhost"": ""publish"", ""content-type"": ""text/html;charset=utf-8"", ""x-content-type-options"": ""nosniff"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-iad-kiad7000157-IAD"", ""x-timer"": ""S1696020028.183412,VS0,VS0,VE364"", ""expires"": ""Fri, 29 Sep 2023 22:51:11 GMT"", ""cache-control"": ""max-age=0, no-cache, no-store"", ""pragma"": ""no-cache"", ""date"": ""Fri, 29 Sep 2023 22:51:11 GMT"", ""connection"": ""keep-alive"", ""vary"": ""Accept-Encoding"", ""content-security-policy"": ""upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com  http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com *.miro.com cisco.techdatavendors.be *.service-now.com *.thousandeyes.com *.duo.com duo.com *.umbrella.com *.pricespider.com *.mapbox.com  cdnjs.cloudflare.com https://community.cisco.com/;"", ""strict-transport-security"": ""max-age=31536000""}"
