number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.13478612899780273,0.10761332511901855,0.3770439624786377,200,OK,[''],17,17,3696,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:20 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 a432ddebfd10465526f121270421362a.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""TNHULpHbIHrfkFOa8S9x7VfQYCl4KCpL17f9DlcX7o9XUSpXEkTPVg==""}"
1,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.28781676292419434,0.11291384696960449,0.22024750709533691,200,OK,[''],17,17,14858,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:24 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 3f7bd14926d2704d3a00300bdc9dae98.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""mEmK-lc00YefVGWxwBSMEwjaw8ei3-0aVH8gUm85hUqCMDPjy0pc3A==""}"
2,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.24216437339782715,0.10318756103515625,0.4397251605987549,200,OK,[''],17,17,11932,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:28 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 40a470190ceea00b102d41459a4f2a54.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""tQa7T4nJizP90yOmFacssddjJ2_nKV4BPCAkUOOckQWnyScoXnMzdg==""}"
3,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.1707906723022461,0.1429147720336914,0.1956310272216797,200,OK,[''],17,17,11932,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:32 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 9a017d15c75b3a14dee95340cd7042ca.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""-Bx-m4o8TmkqXqKmNd_b7_JEJqqIMf1iF794CRm1E1yyKpjaoq_OVg==""}"
4,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.14390969276428223,0.13249683380126953,0.47071170806884766,200,OK,[''],17,17,14858,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:37 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 8a1ff83d003e2ec239013528078f9674.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""RaDNM1Ii-lszazp7uazTIqj2ic1Q7aPxiDhzt1vmlD-zCLphOhdpMA==""}"
5,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.22702980041503906,0.11629748344421387,0.3615427017211914,200,OK,[''],17,17,11932,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:42 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 a432ddebfd10465526f121270421362a.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""SC2agFCdxtM_hNcYebqUTchbr1hQm-3rz_WDvwcap-S-ViGRI2EbOA==""}"
6,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.2622373104095459,0.11241364479064941,0.40972375869750977,200,OK,[''],17,17,0,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:47 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 6ef6a480e6faf3876201c8f86486bbce.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""xD1Fo7AZAuq7Q9OQq9Q-5A3WS05MQnSC4j_XwQ_PUQss8fukpmIgbA==""}"
7,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.22910642623901367,0.12256932258605957,0.31236791610717773,200,OK,[''],17,17,977,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:52 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 a432ddebfd10465526f121270421362a.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""uZy2rXjVllnQMiHBlInfupLcmmFPmZxAYneP_8bl_EzqgZNlFKlfyQ==""}"
8,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.163621187210083,0.11481237411499023,0.20378637313842773,200,OK,[''],17,17,14858,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:34:56 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 a432ddebfd10465526f121270421362a.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""V60YA2hLmNaxYs1Ys8ovUj51DrXl1OeFct0qCMV_9LdKYHJ2bOKpAg==""}"
9,"GET / HTTP/1.1
Host: www.go.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,424,HTTP/1.1,0.15930700302124023,0.127183198928833,0.3524627685546875,200,OK,[''],17,17,11932,"{""content-type"": ""text/html; charset=utf-8"", ""content-length"": ""34543"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 22:35:01 GMT"", ""server"": ""nginx/1.18.0 (Ubuntu)"", ""expires"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""last-modified"": ""Fri, 29 Sep 2023 22:36:51 GMT"", ""content-encoding"": ""gzip"", ""via"": ""1.1 varnish (Varnish/6.0), 1.1 dea2813e25126efeee924db05c094a40.cloudfront.net (CloudFront)"", ""accept-ranges"": ""bytes"", ""cache-control"": ""max-age=0, must-revalidate"", ""set-cookie"": ""country=de; path=/;"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""3GWEHdeuSFfW5K8Z2fM3_OT2nmRND_p7owghgLI6bjaruQhoLwX8Cw==""}"
