number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.20768284797668457,0.10418987274169922,0.3143956661224365,200,OK,[''],15,15,0,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:49 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""q43bztmv516x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 1bfb8b463785209819c50309ae9d6c22.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""HipKoxt4eMPlMtLK9NIIP9sVVwuTvXPFDelP3Qvvf8q3z6NKzuFvMA==""}"
1,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.2617762088775635,0.10179281234741211,0.18758940696716309,200,OK,[''],15,15,0,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:52 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""15mcu9t1e746x93\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 9fdc880f0fc2d6c20289524817854d36.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""1x_fqY0kPQ4S661uQb2oo6z_x3EaqIFj5Qy47LJVykuGuk9Op1Rf4A==""}"
2,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1795647144317627,0.12050032615661621,0.25266218185424805,200,OK,[''],15,15,0,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:55 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""9ne1wc6d7q6x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 6c6df67b2ed9c5a782b5d18f968a4a76.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""Xelcc1gTAfn9eiJCQwvJ-NtN5FNj1oQF-w1dir3bk6CA2o7teMgo-g==""}"
3,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.16099882125854492,0.11032223701477051,0.265575647354126,200,OK,[''],15,15,14865,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:21:57 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""6wi3ad2wny6x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 fc5a4053810c85d26abbb37d924e59fe.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""TccF4fCvDWJYiceolHz7Tdiwsq1_rsscJAWf3fFBM3meXXX7qTT9tQ==""}"
4,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.18769550323486328,0.1120154857635498,0.22495293617248535,200,OK,[''],15,15,0,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:00 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""4pl3ak57my6x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 9fdc880f0fc2d6c20289524817854d36.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""Ds49mCKF2hw-F9WK30XbocaP-Wc7nZEVfr0NAV8MeUdDOwWBtK84VQ==""}"
5,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.15962839126586914,0.10193061828613281,0.26761722564697266,200,OK,[''],15,15,14865,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:03 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""5hh3dmqq8p6x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 fc5a4053810c85d26abbb37d924e59fe.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""CXR1BgHAKkKT_r1O7sTRG-JFpjFOW4QZhK8T47AsG4QDBJHcMRl4Wg==""}"
6,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.1765611171722412,0.11105608940124512,0.25614047050476074,200,OK,[''],15,15,0,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:05 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""6k5dgqydab6x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 fc5a4053810c85d26abbb37d924e59fe.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""SM-azurY4BmNt_dlQOVYZkdrCNEPrRwNhF3__BGUIv0WzDVaAfvJ-A==""}"
7,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.22832727432250977,0.11341094970703125,0.20431160926818848,200,OK,[''],15,15,14865,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:08 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""6d8isgma8i6x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 7ef2f2ef10b33b89c251a780db8113ec.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""WjZ9NmDWMAcfs7QGzV8I8LSocn-_vTtgnrxP1qTtSG3xbJrluV2vCw==""}"
8,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.12784790992736816,0.10926294326782227,0.18929457664489746,200,OK,[''],15,15,0,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:10 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""6jza5j1sib6x96\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 b1798c28d0a3b77deb65265a32d0e278.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""WPLeJni5FoY4TwbrW-maS3Ed3Boy7YMjU9QJRAIM5GP_sMKzISN--Q==""}"
9,"GET / HTTP/1.1
Host: www.hotjar.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,428,HTTP/1.1,0.10512065887451172,0.10650634765625,0.1838691234588623,200,OK,[''],15,15,14864,"{""content-type"": ""text/html; charset=utf-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""date"": ""Fri, 29 Sep 2023 21:22:12 GMT"", ""strict-transport-security"": ""max-age=2592000; includeSubDomains"", ""set-cookie"": ""hj_visitor=new; Path=/"", ""x-powered-by"": ""Next.js"", ""etag"": ""\""1880zszirr46x93\"""", ""cache-control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""content-encoding"": ""gzip"", ""vary"": ""Accept-Encoding"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 0e11402be5d2f88aebf400ebe3216a3a.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-P2"", ""x-amz-cf-id"": ""C5z2Trejz08kFkuc9eLqcqbYf6eOYH89n_PzT-kWuWbPMuj58HPxkg==""}"
