number,request,deviation_count,uri,request_length,http_version,Socket_Connect_Time,Socket_Close_Time,Response_Time,status_code,reason_phrase,error_message,response_header_count,response_header_length,response_body_length,response_header_fields
0,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.24695110321044922,0.10693883895874023,0.06393814086914062,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:50:48 GMT"", ""x-amz-rid"": ""P5Q7HQ8DAP8S2TP8VBMY"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 6bf6848b0a526667291cc03dfcf8febe.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""vZIlNTNhUwds6jd-byo6u9utvATIeoh7ZOKU9KQS_AJxue4qDEoj4g==""}"
1,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.19156956672668457,0.11878037452697754,0.16989421844482422,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:50:50 GMT"", ""x-amz-rid"": ""CDWBX19MGN2QMGKN7MBP"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 fd2461c1fc276b0abb08db5092b879f2.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""k8yV_VlSzW7TuDY78xo-IPNONkoTul1nKJd2SWuLwggJHmCzN_J9HQ==""}"
2,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.3390939235687256,0.1069176197052002,0.05723881721496582,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:50:53 GMT"", ""x-amz-rid"": ""MR9ZY9B2ZD5CZNH74MVV"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 40a470190ceea00b102d41459a4f2a54.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""WOofNrku_VqDF7kMPg6opID2hj4U92P9eBovQsoqlYLDC83kEPIXvA==""}"
3,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1505439281463623,0.11898207664489746,0.1499805450439453,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:50:56 GMT"", ""x-amz-rid"": ""DYV9V1K0868TKH3CC98N"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 c00313a056e59f376cf028f05a0244e4.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""CqUNsX7gECLekZFANdLQcM-Am3WslidZ2Vl4ZNREnUUqPEtWhGwxjQ==""}"
4,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.27312183380126953,0.1361069679260254,0.06263494491577148,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:50:58 GMT"", ""x-amz-rid"": ""MGB1XBW73RVMTW1WGAVJ"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 6ef6a480e6faf3876201c8f86486bbce.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""cUGjQGzDpbHqMPWWlvyVcQjSFGcj9Fy7swbvQO7pLBCu1yeOLg8XnA==""}"
5,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.1462409496307373,0.1665639877319336,0.0685427188873291,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:51:01 GMT"", ""x-amz-rid"": ""TYC7K2K1X0TX9CH088PR"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 dea2813e25126efeee924db05c094a40.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""XJA66JL1H4zc-_9xEzmD6uaoEinNCuCAFG5G3WCwBXni5nmhJxvh8g==""}"
6,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.15973830223083496,0.11446595191955566,0.0643925666809082,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:51:03 GMT"", ""x-amz-rid"": ""0R0QFCNEWJEY5CAXZV03"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 17b6d0f022cb338e07d6581877453bb0.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""jVEW3nTe3k-X3Zxgd90I40EZHGXzg1pRFG30XS1ClkE8H03-a2_MTg==""}"
7,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.19359636306762695,0.11247920989990234,0.13280630111694336,200,OK,[''],27,27,362,"{""content-type"": ""text/html;charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:51:07 GMT"", ""x-amz-rid"": ""WNGFAEFSWYH3YMJGYA0G"", ""set-cookie"": ""i18n-prefs=EUR; Domain=.amazon.de; Expires=Sat, 28-Sep-2024 22:51:07 GMT; Path=/"", ""content-security-policy-report-only"": ""default-src 'self' blob: https: data: mediastream: 'unsafe-eval' 'unsafe-inline';report-uri https://metrics.media-amazon.com/"", ""content-language"": ""de-DE"", ""pragma"": ""no-cache"", ""cache-control"": ""no-cache"", ""x-xss-protection"": ""1;"", ""x-content-type-options"": ""nosniff"", ""accept-ch"": ""ect,rtt,downlink,device-memory,sec-ch-device-memory,viewport-width,sec-ch-viewport-width,dpr,sec-ch-dpr,sec-ch-ua-platform,sec-ch-ua-platform-version"", ""content-security-policy"": ""upgrade-insecure-requests;report-uri https://metrics.media-amazon.com/"", ""x-ua-compatible"": ""IE=edge"", ""expires"": ""-1"", ""accept-ch-lifetime"": ""86400"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""x-frame-options"": ""SAMEORIGIN"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 91bfa1bdba15fba4281ea367ab656f54.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""yZNd6LYI0zK9vjjbMZw-tS4SX1qlaoI9Ou6EnhaM8LO7irNj99n2NA==""}"
8,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.17552924156188965,0.10434079170227051,0.10490584373474121,200,OK,[''],27,27,362,"{""content-type"": ""text/html;charset=UTF-8"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:51:09 GMT"", ""x-amz-rid"": ""CNZRKTQZD1JK1WP7F7TT"", ""set-cookie"": ""i18n-prefs=EUR; Domain=.amazon.de; Expires=Sat, 28-Sep-2024 22:51:09 GMT; Path=/"", ""accept-ch"": ""ect,rtt,downlink,device-memory,sec-ch-device-memory,viewport-width,sec-ch-viewport-width,dpr,sec-ch-dpr,sec-ch-ua-platform,sec-ch-ua-platform-version"", ""x-xss-protection"": ""1;"", ""x-ua-compatible"": ""IE=edge"", ""content-security-policy-report-only"": ""default-src 'self' blob: https: data: mediastream: 'unsafe-eval' 'unsafe-inline';report-uri https://metrics.media-amazon.com/"", ""content-language"": ""de-DE"", ""accept-ch-lifetime"": ""86400"", ""x-content-type-options"": ""nosniff"", ""pragma"": ""no-cache"", ""cache-control"": ""no-cache"", ""expires"": ""-1"", ""content-security-policy"": ""upgrade-insecure-requests;report-uri https://metrics.media-amazon.com/"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""x-frame-options"": ""SAMEORIGIN"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 259359d7ff61dd984af98fc0a1b513fa.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""ZX7q-qB5tE0ilBe8chgbHhTeZ7T83tzepXUGMZGtww1yKmyO44f1Fg==""}"
9,"GET / HTTP/1.1
Host: www.amazon.de
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",0,/,427,HTTP/1.1,0.11494565010070801,0.11148333549499512,0.04521465301513672,200,OK,[''],14,14,7085,"{""content-type"": ""text/html"", ""transfer-encoding"": ""chunked"", ""connection"": ""keep-alive"", ""server"": ""Server"", ""date"": ""Fri, 29 Sep 2023 22:51:11 GMT"", ""x-amz-rid"": ""V3DG0QA70KCT7NJN7ZHN"", ""vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""content-encoding"": ""gzip"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 c00313a056e59f376cf028f05a0244e4.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""HAM50-C3"", ""alt-svc"": ""h3=\"":443\""; ma=86400"", ""x-amz-cf-id"": ""OM97mBNvNSavXyf4Mv6yi9dT0MduDFkijQ79CcvgIF-_quFW347aRw==""}"
